,,,,,,,,,,,
,,,,International Migrant Stock 2020: Destination,,,,,,,
,,,,"Table 4: Female migrants as a percentage of the international migrant stock by region, country or area of destination, 1990-2020",,,,,,,
,,,,POP/DB/MIG/Stock/Rev.2020,,,,,,,
,,,,"Suggested citation: United Nations Department of Economic and Social Affairs, Population Division (2020). International Migrant Stock 2020.",,,,,,,
,,,,"Copyright © 2020 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,
,,,,,,,,,,,
,,,,,Female migrants as a percentage of the international migrant stock,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Region, development group, country or area",Notes,Location code,Type of data,1990,1995,2000,2005,2010,2015,2020
65,   Lesotho,,426,C R,47.6,46.9,45.9,45.9,45.9,45.0,45.8
66,   Namibia,,516,B R,47.2,46.9,46.0,46.3,46.3,46.1,46.0
67,   South Africa,,710,B R,38.4,39.1,40.3,42.1,42.2,45.2,43.1
68,  Western Africa,,914,,46.5,47.1,46.9,46.4,46.4,46.9,47.0
69,   Benin,,204,C B R,47.3,46.7,46.4,50.7,53.6,53.0,52.9
70,   Burkina Faso,,854,B R,52.0,51.9,51.8,52.2,52.4,52.4,52.4
71,   Cabo Verde,,132,B R,50.4,49.0,47.8,48.6,49.3,49.4,49.4
72,   Côte d'Ivoire,,384,C B R,44.3,44.6,44.6,44.6,44.6,44.6,44.6
73,   Gambia,,270,B R,43.9,45.6,46.8,47.1,47.2,47.3,47.2
74,   Ghana,,288,B R,49.6,49.6,49.2,48.5,46.7,46.7,46.6
75,   Guinea,,324,C B R,50.1,50.1,50.2,51.4,47.8,41.4,41.2
76,   Guinea-Bissau,,624,B R,50.0,50.5,50.3,50.3,51.1,51.5,50.6
77,   Liberia,,430,B R,43.2,46.5,45.9,41.3,42.6,42.8,42.4
78,   Mali,,466,B R,49.0,48.4,48.4,48.4,49.3,49.3,49.3
79,   Mauritania,,478,C R,48.4,47.5,45.7,43.9,42.6,43.5,43.4
80,   Niger,,562,B R,52.2,52.2,52.4,52.5,52.5,52.6,53.5
81,   Nigeria,,566,C R,43.9,44.3,44.6,41.8,41.8,45.1,45.5
82,   Saint Helena*,4,654,C,38.2,40.2,43.5,47.9,45.2,33.4,30.0
83,   Senegal,,686,B R,48.7,48.8,47.6,47.6,46.9,46.9,47.0
84,   Sierra Leone,,694,B R,44.7,43.2,44.7,47.5,45.0,43.8,43.4
85,   Togo,,768,C R,49.4,50.1,49.9,49.4,49.4,49.7,49.3
86, ASIA,,935,,46.8,46.6,46.4,45.4,43.0,42.3,41.8
87,  Central Asia,,5500,,55.2,55.0,55.2,53.9,52.7,51.9,51.7
88,   Kazakhstan,,398,B R,54.0,54.0,53.9,52.5,51.3,50.4,50.4
89,   Kyrgyzstan,,417,B R,58.2,58.2,58.2,58.6,59.2,59.6,59.6
90,   Tajikistan,,762,B R,56.2,56.4,56.0,56.7,56.5,56.9,56.8
91,   Turkmenistan,,795,B R,56.2,51.7,53.1,52.5,54.2,53.4,52.6
92,   Uzbekistan,,860,B R,56.2,56.5,56.9,55.7,54.2,53.4,53.2
93,  Eastern Asia,,906,,49.6,51.0,52.7,52.8,53.0,52.4,52.3
94,   China*,,156,C,49.0,49.6,50.0,44.0,40.5,38.6,38.6
95,"   China, Hong Kong SAR*",,344,B R,49.3,51.9,54.1,56.4,58.7,60.5,62.6
96,"   China, Macao SAR*",,446,B,53.0,53.9,54.6,53.3,54.0,53.6,53.6
97,"   China, Taiwan Province of China*",,158,,..,..,..,..,..,..,..
98,   Dem. People's Republic of Korea,,408,I,49.0,50.0,51.0,50.7,50.5,50.2,50.2
99,   Japan,,392,C,49.9,50.1,52.7,53.7,54.4,53.0,51.4
100,   Mongolia,,496,C R,49.1,46.7,44.4,34.0,26.0,33.2,33.2
101,   Republic of Korea,,410,C R,43.7,42.9,41.4,41.5,44.0,44.5,44.5
102,  South-Eastern Asia,,920,,47.5,48.2,48.9,48.2,47.7,47.3,46.8
103,   Brunei Darussalam,,96,B,42.8,43.6,44.1,43.9,43.6,43.4,43.4
104,   Cambodia,,116,B R,50.3,50.8,51.0,49.6,47.1,46.1,46.1
105,   Indonesia,,360,B R,50.6,49.4,47.6,42.9,42.6,41.8,41.9
106,   Lao People's Democratic Republic,,418,C R,48.4,48.1,47.3,46.3,38.9,35.6,35.6
107,   Malaysia*,,458,C R,41.7,42.9,43.8,40.9,39.2,39.2,38.0
108,   Myanmar,,104,C,45.9,45.9,46.8,46.4,45.6,45.2,45.2
109,   Philippines,,608,C R,47.2,48.1,49.1,48.3,48.3,48.2,48.1
110,   Singapore,,702,B,52.4,54.0,55.5,55.6,55.8,55.9,55.9
111,   Thailand,,764,B R,46.4,47.4,48.5,49.8,49.6,49.8,49.8
112,   Timor-Leste,,626,B R,50.3,51.1,51.9,50.6,49.4,39.6,39.6
113,   Viet Nam,,704,C R,45.8,45.0,42.2,39.9,41.8,42.1,42.1
114,  Southern Asia,,5501,,47.4,47.9,47.8,48.7,49.2,49.5,49.2
115,   Afghanistan,,4,B R,43.6,45.3,43.6,43.6,43.6,49.5,52.0
116,   Bangladesh,,50,B R,46.0,46.1,46.2,46.1,47.2,47.1,48.3
117,   Bhutan,,64,B,18.5,18.5,18.5,18.7,18.9,15.1,15.1
118,   India,,356,B R,47.8,48.1,48.5,50.6,51.6,52.5,53.4
119,   Iran (Islamic Republic of),,364,C R,44.8,45.1,44.9,45.1,45.3,45.5,45.7
120,   Maldives,,462,C,45.0,50.1,45.0,39.9,23.7,12.3,12.3
121,   Nepal,,524,B R,70.7,68.5,66.3,65.4,67.1,69.3,69.9
122,   Pakistan,,586,B R,47.4,46.8,46.2,46.1,47.4,47.4,44.7
123,   Sri Lanka,,144,B R,43.6,44.4,45.3,46.1,46.9,47.8,47.3
124,  Western Asia,,922,,41.4,40.9,40.3,38.1,34.8,35.2,35.3
125,   Armenia,,51,B R,58.9,58.9,58.9,59.2,59.4,59.5,59.0
126,   Azerbaijan*,,31,B R,56.2,56.5,56.9,55.2,53.2,52.1,52.0
127,   Bahrain,,48,C R,29.1,30.0,30.9,28.6,27.8,26.7,25.8
128,   Cyprus*,,196,B,53.3,55.4,56.6,56.4,56.2,56.2,55.0
129,   Georgia*,,268,B R,56.2,56.2,56.2,56.2,56.2,56.2,56.1
130,   Iraq,,368,C R,33.3,42.4,42.8,39.3,38.1,41.8,44.9
131,   Israel,,376,B R,52.8,53.7,53.9,54.1,54.4,54.6,54.6
132,   Jordan,,400,C R,48.8,48.9,49.0,49.1,49.2,49.6,49.2
133,   Kuwait,,414,C R,39.0,35.8,32.5,31.1,30.0,33.6,33.7
134,   Lebanon,,422,B R,48.8,48.9,49.0,48.4,47.9,51.9,51.0
135,   Oman,,512,C R,20.2,22.6,21.7,20.8,19.3,16.4,16.4
136,   Qatar,,634,C,27.1,25.4,23.8,22.8,17.2,16.1,17.2
137,   Saudi Arabia,,682,C R,33.5,33.3,33.2,31.3,29.6,30.7,31.4
138,   State of Palestine*,5,275,B,54.2,54.5,54.7,54.6,54.5,54.3,54.3
139,   Syrian Arab Republic,,760,C R,49.0,49.1,48.7,48.7,48.9,48.9,50.2
140,   Turkey,,792,B R,50.4,51.2,51.9,53.0,54.1,45.0,48.4
141,   United Arab Emirates,,784,C R,28.7,28.2,28.2,27.2,25.3,26.3,26.3
142,   Yemen,,887,C R,43.6,43.0,44.5,42.5,45.9,47.5,42.3
143, EUROPE,,908,,51.4,51.6,51.6,51.6,51.7,52.1,51.6
144,  Eastern Europe,,923,,53.6,53.1,52.6,52.6,52.7,52.6,52.1
145,   Belarus,,112,B,54.2,54.2,54.2,54.2,54.2,54.2,54.2
146,   Bulgaria,,100,B,57.9,57.9,57.9,56.5,55.6,51.5,50.3
147,   Czechia,,203,C,48.0,46.7,46.0,43.7,40.7,42.6,42.1
148,   Hungary,,348,B,55.1,54.3,53.5,52.5,51.9,50.4,48.2
149,   Poland,,616,B,57.2,58.1,59.0,58.9,59.2,58.1,52.2
150,   Republic of Moldova*,,498,B,56.3,57.7,59.2,60.3,59.7,59.1,59.1
151,   Romania,,642,B,57.6,55.2,53.0,51.7,50.5,47.8,45.1
152,   Russian Federation,,643,B,50.9,50.3,49.7,50.2,50.7,50.9,50.9
153,   Slovakia,,703,B,56.0,56.0,56.0,55.0,54.3,49.9,49.0
154,   Ukraine*,,804,B,57.2,57.2,57.1,57.1,57.0,57.0,57.0
155,  Northern Europe,,924,,52.2,52.7,53.0,52.4,51.8,51.9,51.5
156,   Channel Islands*,6,830,B,53.0,53.0,53.0,52.6,52.3,52.2,52.2
157,   Denmark*,7,208,B,51.4,51.4,51.5,51.6,51.7,51.1,50.6
158,   Estonia,,233,B,55.1,56.8,59.6,59.7,59.8,58.9,56.5
159,   Faroe Islands*,8,234,B,43.1,45.7,46.5,46.5,47.0,49.3,48.0
160,   Finland*,,246,B,49.9,50.3,50.5,49.8,49.6,49.4,48.5
161,   Iceland,,352,B,55.7,55.0,54.7,51.3,49.8,51.2,45.4
162,   Ireland,,372,B,50.8,52.4,50.7,47.4,50.7,50.4,50.1
163,   Isle of Man*,9,833,B,52.9,52.4,52.0,51.3,50.8,51.2,51.2
164,   Latvia,,428,B,55.0,56.5,58.7,58.9,60.3,60.8,59.5
165,   Lithuania,,440,B,52.9,53.0,53.1,53.2,56.7,57.7,49.6
166,   Norway*,,578,B,48.3,49.8,50.5,51.1,49.1,47.8,48.5
167,   Sweden,,752,B,51.4,51.8,52.2,52.2,51.5,50.9,49.7
168,   United Kingdom*,10,826,B,51.9,52.4,52.9,52.4,51.5,52.2,52.3
169,  Southern Europe,,925,,52.5,52.5,52.0,51.3,51.4,53.0,52.7
170,   Albania,,8,B,53.7,53.4,53.1,49.0,49.0,49.0,49.0
171,   Andorra,,20,C,46.0,46.6,47.6,47.4,47.6,49.2,48.8
172,   Bosnia and Herzegovina,,70,I R,52.6,52.3,52.2,52.5,52.3,52.3,53.2
173,   Croatia,,191,B,53.2,53.2,53.0,53.1,53.2,53.6,53.5
174,   Gibraltar*,11,292,B,48.0,49.9,52.0,50.9,50.1,49.5,49.5
175,   Greece,,300,B,46.6,48.1,49.6,50.6,51.5,54.1,52.1
176,   Holy See*,,336,I,50.7,51.3,52.0,52.3,52.1,52.4,54.0
177,   Italy,,380,B,55.0,54.4,54.0,54.0,54.0,54.6,53.6
178,   Malta,,470,B,53.5,52.8,52.2,51.6,48.1,46.2,42.4
179,   Montenegro,,499,B,..,..,..,..,59.7,60.7,60.6
180,   North Macedonia,,807,B,58.3,58.3,58.3,58.3,58.3,58.3,58.3
181,   Portugal,,620,B,51.8,51.3,50.8,51.1,51.3,53.9,52.1
182,   San Marino,,674,C,47.8,47.0,46.2,45.4,43.4,44.8,46.0
183,   Serbia*,,688,B,52.9,55.2,55.2,55.2,55.9,56.0,56.0
184,   Slovenia,,705,B,49.7,48.3,46.5,46.3,42.8,43.4,41.4
185,   Spain*,,724,B,52.5,51.1,49.4,47.9,48.4,51.0,52.2
186,  Western Europe,,926,,47.8,49.1,50.1,50.6,51.2,51.2,50.7
187,   Austria,,40,B,53.6,52.7,52.0,52.2,52.4,51.8,51.2
188,   Belgium,,56,B,48.9,49.4,49.8,50.3,51.7,51.2,50.9
189,   France*,12,250,B,49.1,50.0,50.7,51.0,51.4,51.7,51.5
190,   Germany,,276,B,44.5,47.8,49.9,50.3,50.6,50.7,49.9
191,   Liechtenstein,,438,B,45.4,46.9,48.5,50.1,51.4,51.2,51.2
192,   Luxembourg,,442,B,50.7,50.6,50.4,50.2,50.1,49.3,49.1
193,   Monaco,,492,B,53.5,52.7,52.0,51.6,51.1,51.5,51.5
194,   Netherlands*,13,528,B,49.9,50.4,50.8,51.4,51.9,52.3,51.9
195,   Switzerland,,756,B,49.6,48.0,46.4,48.9,51.6,51.1,50.9
196, LATIN AMERICA AND THE CARIBBEAN,,904,,49.8,49.9,50.1,50.3,50.3,49.8,49.5
197,  Caribbean,,915,,47.7,48.1,48.4,48.6,48.9,46.8,46.9
198,   Anguilla*,14,660,B R,51.1,52.2,53.0,52.8,52.7,52.6,52.7
199,   Antigua and Barbuda,,28,B R,52.0,54.2,55.3,55.3,55.4,55.4,55.4
200,   Aruba*,15,533,B R,55.5,55.2,55.1,55.3,55.4,55.4,54.6
201,   Bahamas,,44,B R,48.5,47.5,46.7,48.1,49.1,49.4,49.4
202,   Barbados,,52,B R,58.1,57.2,56.4,55.7,55.1,55.1,55.1
203,"   Bonaire, Sint Eustatius and Saba*",16,535,B,..,..,..,..,..,..,..
204,   British Virgin Islands*,18,92,B R,48.6,49.9,50.7,50.7,51.4,51.8,51.8
205,   Cayman Islands*,19,136,C R,50.8,50.0,49.6,49.2,48.8,48.8,48.6
206,   Cuba,,192,B,50.0,52.0,55.7,55.9,56.2,56.4,56.6
207,   Curaçao*,20,531,B R,..,..,..,..,59.0,58.9,56.4
208,   Dominica,,212,B,48.0,48.0,47.5,47.5,48.2,47.9,47.9
209,   Dominican Republic,,214,B R,37.6,38.5,39.3,39.3,39.4,35.7,36.6
210,   Grenada,,308,B,50.6,50.5,50.4,50.4,50.4,50.4,54.4
211,   Guadeloupe*,21,312,B,50.4,51.4,52.2,53.7,55.0,57.5,58.0
212,   Haiti,,332,B R,44.4,44.4,44.4,44.4,44.4,44.4,44.4
213,   Jamaica,,388,B R,51.3,50.5,49.9,49.6,49.2,49.2,49.2
214,   Martinique*,22,474,B R,50.7,52.2,53.3,54.6,55.8,57.5,57.5
215,   Montserrat*,23,500,B,48.9,48.8,48.6,48.6,48.6,48.5,48.4
216,   Puerto Rico*,24,630,B,52.4,52.5,52.5,52.6,53.1,53.3,53.5
217,   Saint Barthélemy*,,652,,..,..,..,..,..,..,..
218,   Saint Kitts and Nevis,,659,B R,48.8,48.3,47.7,47.6,47.5,47.4,47.4
219,   Saint Lucia,,662,B R,50.7,50.2,49.8,50.8,51.6,51.8,52.0
220,   Saint Martin (French part)*,,663,,..,..,..,..,..,..,..
221,   Saint Vincent and the Grenadines,,670,B R,51.4,51.4,51.3,50.5,49.6,49.2,48.4
222,   Sint Maarten (Dutch part)*,25,534,B R,..,..,..,52.0,52.0,52.1,52.1
223,   Trinidad and Tobago,,780,B R,53.6,53.7,53.8,53.9,52.0,51.1,50.3
224,   Turks and Caicos Islands*,26,796,B R,48.2,48.2,48.3,48.3,48.3,48.3,48.2
225,   United States Virgin Islands*,27,850,B,52.2,52.5,52.8,52.8,52.9,52.9,52.9
226,  Central America,,916,,50.6,50.5,49.9,50.1,50.0,50.3,49.4
227,   Belize,,84,B R ,46.1,47.6,48.9,49.2,49.4,49.7,49.7
228,   Costa Rica,,188,B R,49.2,49.4,49.6,50.8,51.7,52.0,49.4
229,   El Salvador,,222,B R,53.1,53.0,53.0,52.7,52.5,52.4,52.4
230,   Guatemala,,320,B R,57.4,57.2,55.9,54.5,53.4,52.3,52.7
231,   Honduras,,340,B R,49.1,49.1,48.8,48.2,47.6,47.5,47.5
232,   Mexico,,484,B R,49.9,49.9,49.7,49.5,49.4,49.9,49.8
233,   Nicaragua,,558,B R,49.6,49.8,49.2,49.1,48.8,48.5,48.6
234,   Panama,,591,B R,47.2,48.1,49.1,49.2,48.5,48.7,46.7
235,  South America,,931,,49.9,50.3,50.6,50.8,50.7,50.4,49.9
236,   Argentina,,32,B R,52.2,52.8,53.4,53.7,53.9,54.0,53.4
237,   Bolivia (Plurinational State of),,68,B R,49.1,48.8,48.6,48.0,47.6,47.6,47.6
238,   Brazil,,76,B R,46.6,46.6,46.5,46.3,46.0,46.0,46.0
239,   Chile,,152,B,49.3,51.1,52.2,52.4,52.6,50.0,49.5
240,   Colombia,,170,B,49.1,48.9,48.7,48.4,47.5,46.6,49.9
241,   Ecuador,,218,B R,51.0,49.7,49.0,48.7,48.4,48.3,48.2
242,   Falkland Islands (Malvinas)*,28,238,B,42.9,41.2,40.4,42.1,43.8,44.4,44.4
243,   French Guiana*,29,254,B R,45.2,47.4,49.3,50.6,51.6,52.5,52.5
244,   Guyana,,328,B R,46.3,46.4,46.4,46.5,44.6,44.6,53.5
245,   Paraguay,,600,B R,47.5,47.5,47.9,47.9,48.0,48.0,47.9
246,   Peru,,604,B R,49.9,50.5,50.5,50.0,46.4,41.1,47.5
247,   Suriname,,740,C R,46.0,45.8,45.7,45.5,45.5,45.4,45.0
248,   Uruguay,,858,B R,53.3,53.5,53.8,54.3,54.7,54.8,53.0
249,   Venezuela (Bolivarian Republic of),,862,B R,49.5,49.7,49.8,50.0,49.8,49.9,50.7
250, NORTHERN AMERICA,,905,,51.1,50.8,50.5,50.3,51.1,51.5,51.8
251,   Bermuda*,30,60,B,51.8,51.8,51.7,51.5,51.3,51.0,50.7
252,   Canada,,124,B,51.3,51.6,51.8,52.0,52.1,52.4,52.4
253,   Greenland*,31,304,B,30.3,31.5,30.1,32.0,32.4,34.2,35.2
254,   Saint Pierre and Miquelon*,32,666,B,49.0,48.3,48.1,48.0,47.8,47.7,47.6
255,   United States of America*,33,840,B,51.1,50.7,50.3,50.0,50.9,51.3,51.7
256, OCEANIA ,,909,,48.9,49.5,50.1,50.4,50.3,50.4,50.5
257,  Australia and New Zealand,,927,,49.2,49.8,50.3,50.6,50.5,50.5,50.6
258,   Australia*,,36,B,49.1,49.6,50.1,50.4,50.3,50.3,50.4
259,   New Zealand*,34,554,B,50.2,50.9,51.4,51.5,51.5,51.6,51.6
260,  Melanesia,,928,,44.4,44.1,44.4,44.6,44.4,45.2,45.3
261,   Fiji,,242,B R,48.5,48.3,48.1,47.2,46.5,46.0,46.0
262,   New Caledonia*,,540,B,44.6,45.2,45.8,46.0,46.2,47.5,47.7
263,   Papua New Guinea,,598,C R,42.6,40.8,39.7,40.4,39.3,39.5,39.2
264,   Solomon Islands,,90,B R,44.4,44.3,44.1,44.1,44.0,43.9,43.8
265,   Vanuatu,,548,B R,45.0,47.4,49.7,50.1,50.3,50.3,50.3
266,  Micronesia,,954,,44.2,46.9,50.1,50.3,49.7,49.4,49.5
267,   Guam*,35,316,B,43.6,46.0,48.3,48.4,48.4,48.4,48.4
268,   Kiribati,,296,B,48.8,48.8,48.0,47.2,47.3,47.3,47.2
269,   Marshall Islands,,584,B,37.7,38.1,38.4,38.6,38.7,38.8,38.7
270,   Micronesia (Fed. States of),,583,B,43.0,36.6,44.8,46.1,46.4,46.6,46.5
271,   Nauru,,520,C R,46.5,46.4,46.4,46.4,46.4,43.4,41.1
272,   Northern Mariana Islands*,36,580,B,46.4,51.1,56.7,57.4,57.7,58.0,58.0
273,   Palau,,585,B,35.7,40.9,38.1,40.1,41.5,39.3,43.2
274,  Polynesia*,,957,,44.2,44.8,45.3,45.9,46.1,46.3,46.3
275,   American Samoa*,,16,B,47.5,47.9,48.2,48.4,48.6,49.0,49.0
276,   Cook Islands*,37,184,B R,44.2,44.3,44.3,47.4,49.7,49.9,50.0
277,   French Polynesia*,38,258,B R,40.2,41.2,42.0,43.0,43.0,43.0,43.0
278,   Niue*,39,570,B,46.9,46.5,46.2,46.0,45.8,45.7,45.7
279,   Samoa,,882,B R,47.2,47.8,48.3,48.8,49.4,49.4,49.5
280,   Tokelau*,40,772,B R,45.6,47.0,48.6,50.1,51.9,52.4,52.7
281,   Tonga,,776,B R,48.9,47.5,46.2,46.0,45.7,45.4,45.4
282,   Tuvalu,,798,C,43.4,43.7,44.5,45.0,45.0,45.2,44.8
283,   Wallis and Futuna Islands*,41,876,B R,48.2,48.8,49.5,49.5,49.5,49.5,49.5
