País,Código de País,Código de ubicación,Año,Hombres,Mujeres
   Faroe Islands*,FRO,234,2000,1921,1672
   Finland*,FIN,246,2000,67469,68734
   Iceland,ISL,352,2000,7207,8685
   Ireland,IRL,372,2000,172959,177593
   Isle of Man*,IMN,833,2000,18725,20277
   Latvia,LVA,428,2000,177632,252546
   Lithuania,LTU,440,2000,100546,113765
   Norway*,NOR,578,2000,144826,147614
   Sweden,SWE,752,2000,480211,523587
   United Kingdom*,GBR,826,2000,2228628,2501537
   Albania,ALB,8,2000,35990,40705
   Andorra,AND,20,2000,22093,20054
   Bosnia and Herzegovina,BIH,70,2000,39691,43261
   Croatia,HRV,191,2000,274823,310475
   Gibraltar*,GIB,292,2000,3865,4189
   Greece,GRC,300,2000,559794,551871
   Holy See*,VAT,336,2000,379,411
   Italy,ITA,380,2000,976691,1144997
   Malta,MLT,470,2000,10289,11232
   Montenegro,MNE,499,2000,0,0
   North Macedonia,MNP,807,2000,52385,73280
   Portugal,PRT,620,2000,320319,331153
   San Marino,SMR,674,2000,2175,1870
   Serbia*,SRB,688,2000,437602,540271
   Slovenia,SVN,705,2000,114772,99736
   Spain*,ESP,724,2000,838058,819227
   Austria,AUT,40,2000,478318,518229
   Belgium,BEL,56,2000,636275,632093
   France*,FRA,250,2000,3092789,3185929
   Germany,DEU,276,2000,4503666,4488965
   Liechtenstein,LIE,438,2000,7980,7503
   Luxembourg,LUX,442,2000,69286,70464
   Monaco,MCO,492,2000,10458,11329
   Netherlands*,NLD,528,2000,765302,791035
   Switzerland,CHE,756,2000,841855,728901
   Anguilla*,AIA,660,2000,1910,2153
   Antigua and Barbuda,ATG,28,2000,10316,12755
   Aruba*,ABW,533,2000,13519,16585
   Bahamas,BHS,44,2000,19414,17040
   Barbados,BRB,52,2000,12405,16019
"   Bonaire, Sint Eustatius and Saba*",BES,535,2000,0,0
   British Virgin Islands*,VGB,92,2000,6386,6572
   Cayman Islands*,CYM,136,2000,9671,9505
   Cuba,CUB,192,2000,8212,10333
   Curaçao*,CUW,531,2000,0,0
   Dominica,DMA,212,2000,1955,1768
   Dominican Republic,DOM,214,2000,216008,139603
   Grenada,GRD,308,2000,3386,3439
   Guadeloupe*,GLP,312,2000,39778,43410
   Haiti,HTI,332,2000,9572,7650
   Jamaica,JAM,388,2000,12503,12449
   Martinique*,MTQ,474,2000,25451,29041
   Montserrat*,MSR,500,2000,622,589
   Puerto Rico*,PRI,630,2000,168480,186558
   Saint Barthélemy*,BLM,652,2000,0,0
   Saint Kitts and Nevis,KNA,659,2000,3068,2803
   Saint Lucia,LCA,662,2000,4960,4911
   Saint Martin (French part)*,MAF,663,2000,0,0
   Saint Vincent and the Grenadines,VCT,670,2000,2099,2208
   Sint Maarten (Dutch part)*,SXM,534,2000,0,0
   Trinidad and Tobago,TTO,780,2000,19288,22465
   Turks and Caicos Islands*,TCA,796,2000,4665,4350
   United States Virgin Islands*,VIR,850,2000,26730,29881
   Belize,BLZ,84,2000,18631,17857
   Costa Rica,CRI,188,2000,156798,154148
   El Salvador,SLV,222,2000,14909,16804
   Guatemala,GTM,320,2000,21211,26908
   Honduras,HND,340,2000,14581,13880
   Mexico,MEX,484,2000,270896,267155
   Nicaragua,NIC,558,2000,15423,14966
   Panama,PAN,591,2000,42437,40973
   Argentina,ARG,32,2000,717924,822295
   Bolivia (Plurinational State of),BOL,68,2000,47665,44993
   Brazil,BRA,76,2000,366156,318440
   Chile,CHL,152,2000,84717,92615
   Colombia,COL,170,2000,56223,53386
   Ecuador,ECU,218,2000,77227,74296
   Falkland Islands (Malvinas)*,FLK,238,2000,636,431
   French Guiana*,GUF,254,2000,38895,37754
   Guyana,GUY,328,2000,4611,3999
   Paraguay,PRY,600,2000,92052,84556
   Peru,PER,604,2000,32839,33461
   Suriname,SUR,740,2000,14938,12568
   Uruguay,URY,858,2000,41095,47779
   Venezuela (Bolivarian Republic of),VEN,862,2000,508682,505056
   Bermuda*,BMU,60,2000,8540,9144
   Canada,CAN,124,2000,2659135,2852779
   Greenland*,GRL,304,2000,4616,1985
   Saint Pierre and Miquelon*,SPM,666,2000,756,702
   United States of America*,USA,840,2000,17310785,17503268
   Australia*,AUS,36,2000,2189900,2196350
   New Zealand*,NZL,554,2000,329927,348886
   Fiji,FJI,242,2000,6601,6118
   New Caledonia*,NCL,540,2000,26932,22719
   Papua New Guinea,PNG,598,2000,15874,10430
   Solomon Islands,SLB,90,2000,2224,1757
   Vanuatu,VUT,548,2000,1320,1306
   Guam*,GUM,316,2000,38280,35790
   Kiribati,KIR,296,2000,1188,1095
   Marshall Islands,MHL,584,2000,1164,727
   Micronesia (Fed. States of),FSM,583,2000,1721,1395
   Nauru,NRU,520,2000,1283,1111
   Northern Mariana Islands*,MNP,580,2000,17387,22735
   Palau,PLW,585,2000,3905,2405
   American Samoa*,ASM,16,2000,12898,12014
   Cook Islands*,COK,184,2000,1552,1233
   French Polynesia*,PYF,258,2000,17604,12725
   Niue*,NIU,570,2000,268,230
   Samoa,WSM,882,2000,3101,2897
   Tokelau*,TKL,772,2000,366,346
   Tonga,TON,776,2000,1981,1703
   Tuvalu,TUV,798,2000,121,97
   Wallis and Futuna Islands*,WLF,876,2000,1018,997
   Burundi,BY,108,2005,94413,98361
   Comoros,COM,174,2005,6286,6923
   Djibouti,DJI,262,2005,51331,40779
   Eritrea,ERI,232,2005,8603,7302
   Ethiopia,ETH,231,2005,269834,244617
   Kenya,KEN,404,2005,400364,372990
   Madagascar,MDG,450,2005,14744,11314
   Malawi,MWI,454,2005,105931,115730
   Mauritius*,MUS,480,2005,8943,10704
   Mayotte*,MYT,175,2005,31364,31812
   Mozambique,MOZ,508,2005,130290,138404
   Réunion*,REU,638,2005,59196,55880
   Rwanda,RWA,646,2005,213279,209908
   Seychelles,SYC,690,2005,5820,3177
   Somalia,SOM,706,2005,11098,9670
   South Sudan,SSD,728,2005,0,0
   Uganda,UGS,800,2005,292130,301178
   United Republic of Tanzania*,TZA,834,2005,486983,284170
   Zambia,ZMB,894,2005,128628,124267
   Zimbabwe,ZWE,716,2005,229254,172972
