País,Código de País,Código de ubicación,Año,Numero de Migrantes (Destino),Numero de Migrantes (Origen)
Benin,BEN,204,2020,52.9,46.4
Burkina Faso,BFA,854,2020,52.4,44.1
Cabo Verde,CPV,132,2020,49.4,54.7
Côte d'Ivoire,CIV,384,2020,44.6,50.3
Gambia,GMB,270,2020,47.2,32.9
Ghana,GHA,288,2020,46.6,47.3
Guinea,GIN,324,2020,41.2,43.3
Guinea-Bissau,GNB,624,2020,50.6,45.8
Liberia,LBR,430,2020,42.4,50.2
Mali,MLI,466,2020,49.3,43.1
Mauritania,MRT,478,2020,43.4,38.5
Niger,NER,562,2020,53.5,40.9
Nigeria,NGA,566,2020,45.5,47.5
Saint Helena,SHN,654,2020,30.0,59.4
Senegal,SEN,686,2020,47.0,38.0
Sierra Leone,SLE,694,2020,43.4,50.1
Togo,TGO,768,2020,49.3,50.2
Kazakhstan,KAZ,398,2020,50.4,54.0
Kyrgyzstan,KGZ,417,2020,59.6,52.4
Tajikistan,TJK,762,2020,56.8,42.5
Turkmenistan,TKM,795,2020,52.6,52.3
Uzbekistan,UZB,860,2020,53.2,48.2
China,CHN,156,2020,38.6,54.4
"China, Hong Kong SAR",HKG,344,2020,62.6,48.8
"China, Macao SAR",MAC,446,2020,53.6,55.5
"China, Taiwan Province of China",TWN,158,2020,0.0,0.0
Dem. People's Republic of Korea,PRK,408,2020,50.2,47.3
Japan,JPN,392,2020,51.4,55.1
Mongolia,MNG,496,2020,33.2,52.0
Republic of Korea,KOR,410,2020,44.5,50.6
Brunei Darussalam,BRN,96,2020,43.4,43.0
Cambodia,KHM,116,2020,46.1,53.6
Indonesia,IDN,360,2020,41.9,44.3
Lao People's Democratic Republic,LAO,418,2020,35.6,55.9
Malaysia,MYS,458,2020,38.0,56.7
Myanmar,MMR,104,2020,45.2,37.4
Philippines,PHL,608,2020,48.1,54.0
Singapore,SGP,702,2020,55.9,52.1
Thailand,THA,764,2020,49.8,61.0
Timor-Leste,TLS,626,2020,39.6,44.9
Viet Nam,VNM,704,2020,42.1,50.3
Afghanistan,AFG,4,2020,52.0,44.9
Bangladesh,BGD,50,2020,48.3,32.8
Bhutan,BTN,64,2020,15.1,49.4
India,IND,356,2020,53.4,34.3
Iran (Islamic Republic of),IRN,364,2020,45.7,46.5
Maldives,MDV,462,2020,12.3,53.0
Nepal,NPL,524,2020,69.9,43.8
Pakistan,PAK,586,2020,44.7,34.5
Sri Lanka,LKA,144,2020,47.3,42.4
Armenia,ARM,51,2020,59.0,46.4
Azerbaijan,AZE,31,2020,52.0,46.4
Bahrain,BHR,48,2020,25.8,59.2
Cyprus,CYP,196,2020,55.0,52.1
Georgia,GEO,268,2020,56.1,50.2
Iraq,IRQ,368,2020,44.9,50.0
Israel,ISR,376,2020,54.6,48.4
Jordan,JOR,400,2020,49.2,36.6
Kuwait,KWT,414,2020,33.7,38.9
Lebanon,LBN,422,2020,51.0,40.8
Oman,OMN,512,2020,16.4,45.9
Qatar,QAT,634,2020,17.2,48.9
Saudi Arabia,SAU,682,2020,31.4,44.8
State of Palestine,PSE,275,2020,54.3,47.5
Syrian Arab Republic,SYR,760,2020,50.2,42.4
Turkey,TUR,792,2020,48.4,48.2
United Arab Emirates,ARE,784,2020,26.3,47.1
Yemen,YEM,887,2020,42.3,34.9
Belarus,BLR,112,2020,54.2,57.5
Bulgaria,BGR,100,2020,50.3,58.8
Czechia,CZE,203,2020,42.1,57.5
Hungary,HUN,348,2020,48.2,50.7
Poland,POL,616,2020,52.2,52.4
Republic of Moldova,MDA,498,2020,59.1,52.2
Romania,ROU,642,2020,45.1,53.0
Russian Federation,RUS,643,2020,50.9,56.7
Slovakia,SVK,703,2020,49.0,53.4
Ukraine,UKR,804,2020,57.0,54.7
Channel Islands,CHA,830,2020,52.2,48.5
Denmark,DNK,208,2020,50.6,52.5
Estonia,EST,233,2020,56.5,55.7
Faroe Islands,FRO,234,2020,48.0,57.4
Finland,FIN,246,2020,48.5,60.3
Iceland,ISL,352,2020,45.4,51.0
Ireland,IRL,372,2020,50.1,53.5
Isle of Man,IMN,833,2020,51.2,51.7
Latvia,LVA,428,2020,59.5,54.6
Lithuania,LTU,440,2020,49.6,56.1
Norway,NOR,578,2020,48.5,56.7
Sweden,SWE,752,2020,49.7,55.0
United Kingdom,GBR,826,2020,52.3,49.1
Albania,ALB,8,2020,49.0,48.6
Andorra,AND,20,2020,48.8,52.4
Bosnia and Herzegovina,BIH,70,2020,53.2,51.4
Croatia,HRV,191,2020,53.5,52.3
Gibraltar,GIB,292,2020,49.5,51.9
Greece,GRC,300,2020,52.1,47.9
Holy See,VAT,336,2020,54.0,59.2
Italy,ITA,380,2020,53.6,46.1
Malta,MLT,470,2020,42.4,49.7
Montenegro,MNE,499,2020,60.6,53.7
North Macedonia,MNP,807,2020,58.3,48.4
Portugal,PRT,620,2020,52.1,48.4
San Marino,SMR,674,2020,46.0,59.0
Serbia,SRB,688,2020,56.0,50.4
Slovenia,SVN,705,2020,41.4,54.2
Spain,ESP,724,2020,52.2,53.2
Austria,AUT,40,2020,51.2,53.2
Belgium,BEL,56,2020,50.9,52.1
France,FRA,250,2020,51.5,51.4
Germany,DEU,276,2020,49.9,53.7
Liechtenstein,LIE,438,2020,51.2,55.3
Luxembourg,LUX,442,2020,49.1,50.5
Monaco,MCO,492,2020,51.5,52.5
Netherlands,NLD,528,2020,51.9,50.0
Switzerland,CHE,756,2020,50.9,54.2
Anguilla,AIA,660,2020,52.7,48.4
Antigua and Barbuda,ATG,28,2020,55.4,55.0
Aruba,ABW,533,2020,54.6,56.5
Bahamas,BHS,44,2020,49.4,58.5
Barbados,BRB,52,2020,55.1,53.9
"Bonaire, Sint Eustatius and Saba",BES,535,2020,0.0,55.1
British Virgin Islands,VGB,92,2020,51.8,56.2
Cayman Islands,CYM,136,2020,48.6,54.8
Cuba,CUB,192,2020,56.6,53.2
Curaçao,CUW,531,2020,56.4,50.1
Dominica,DMA,212,2020,47.9,58.5
Dominican Republic,DOM,214,2020,36.6,58.7
Grenada,GRD,308,2020,54.4,55.7
Guadeloupe,GLP,312,2020,58.0,60.5
Haiti,HTI,332,2020,44.4,45.5
Jamaica,JAM,388,2020,49.2,57.5
Martinique,MTQ,474,2020,57.5,56.6
Montserrat,MSR,500,2020,48.4,56.6
Puerto Rico,PRI,630,2020,53.5,51.1
Saint Barthélemy,BLM,652,2020,0.0,0.0
Saint Kitts and Nevis,KNA,659,2020,47.4,55.5
Saint Lucia,LCA,662,2020,52.0,58.4
Saint Martin (French part),MAF,663,2020,0.0,0.0
Saint Vincent and the Grenadines,VCT,670,2020,48.4,53.6
Sint Maarten (Dutch part),SXM,534,2020,52.1,51.4
Trinidad and Tobago,TTO,780,2020,50.3,58.4
Turks and Caicos Islands,TCA,796,2020,48.2,57.8
United States Virgin Islands,VIR,850,2020,52.9,44.5
Belize,BLZ,84,2020,49.7,58.1
Costa Rica,CRI,188,2020,49.4,57.3
El Salvador,SLV,222,2020,52.4,50.3
Guatemala,GTM,320,2020,52.7,50.6
Honduras,HND,340,2020,47.5,59.3
Mexico,MEX,484,2020,49.8,46.8
Nicaragua,NIC,558,2020,48.6,52.9
Panama,PAN,591,2020,46.7,51.2
Argentina,ARG,32,2020,53.4,51.1
Bolivia (Plurinational State of),BOL,68,2020,47.6,53.1
Brazil,BRA,76,2020,46.0,57.7
Chile,CHL,152,2020,49.5,52.4
Colombia,COL,170,2020,49.9,54.5
Ecuador,ECU,218,2020,48.2,52.9
Falkland Islands (Malvinas),FLK,238,2020,44.4,58.1
French Guiana,GUF,254,2020,52.5,58.6
Guyana,GUY,328,2020,53.5,54.1
Paraguay,PRY,600,2020,47.9,57.1
Peru,PER,604,2020,47.5,56.2
Suriname,SUR,740,2020,45.0,55.8
Uruguay,URY,858,2020,53.0,52.4
Venezuela (Bolivarian Republic of),VEN,862,2020,50.7,51.9
Bermuda,BMU,60,2020,50.7,51.1
Canada,CAN,124,2020,52.4,61.4
Greenland,GRL,304,2020,35.2,57.1
Saint Pierre and Miquelon,SPM,666,2020,47.6,44.1
United States of America,USA,840,2020,51.7,49.8
Australia,AUS,36,2020,50.4,52.0
New Zealand,NZL,554,2020,51.6,49.5
Fiji,FJI,242,2020,46.0,52.6
New Caledonia,NCL,540,2020,47.7,51.1
Papua New Guinea,PNG,598,2020,39.2,51.1
Solomon Islands,SLB,90,2020,43.8,51.5
Vanuatu,VUT,548,2020,50.3,52.7
Guam,GUM,316,2020,48.4,54.5
Kiribati,KIR,296,2020,47.2,51.1
Marshall Islands,MHL,584,2020,38.7,51.2
Micronesia (Fed. States of),FSM,583,2020,46.5,50.4
Nauru,NRU,520,2020,41.1,50.5
Northern Mariana Islands,MNP,580,2020,58.0,48.9
Palau,PLW,585,2020,43.2,47.8
American Samoa,ASM,16,2020,49.0,49.6
Cook Islands,COK,184,2020,50.0,50.5
French Polynesia,PYF,258,2020,43.0,45.0
Niue,NIU,570,2020,45.7,50.7
Samoa,WSM,882,2020,49.5,50.9
Tokelau,TKL,772,2020,52.7,49.4
Tonga,TON,776,2020,45.4,50.7
Tuvalu,TUV,798,2020,44.8,50.5
Wallis and Futuna Islands,WLF,876,2020,49.5,52.4
