Año,Pais,Id_Pais,Hombres_origen,Mujeres_origen,Hombres_destino,Mujeres_destino
2000.0,Nepal,NPL,524840.0,452556.0,241959.0,475941.0
2000.0,Pakistan,PAK,2060394.0,1346040.0,2249960.0,1931952.0
2000.0,Sri Lanka,LKA,525052.0,454041.0,21971.0,18161.0
2000.0,Armenia,ARM,469987.0,407161.0,270170.0,387730.0
2000.0,Azerbaijan,AZE,846926.0,783663.0,141161.0,186379.0
2000.0,Bahrain,BHR,24582.0,23154.0,165344.0,74017.0
2000.0,Cyprus,CYP,76411.0,77150.0,34745.0,45331.0
2000.0,Georgia,GEO,502617.0,464405.0,33321.0,42796.0
2000.0,Iraq,IRQ,469465.0,358949.0,120464.0,90061.0
2000.0,Israel,ISR,151741.0,152119.0,853712.0,997597.0
2000.0,Jordan,JOR,226138.0,142161.0,982977.0,944868.0
2000.0,Kuwait,KWT,66324.0,47091.0,761512.0,366128.0
2000.0,Lebanon,LBN,315472.0,243419.0,353305.0,339608.0
2000.0,Oman,OMN,8238.0,7385.0,488389.0,135219.0
2000.0,Qatar,QAT,7489.0,7191.0,274242.0,85455.0
2000.0,Saudi Arabia,SAU,89831.0,63783.0,3517768.0,1745619.0
2000.0,State of Palestine,PSE,1400058.0,1367273.0,124555.0,150647.0
2000.0,Syrian Arab Republic,SYR,407236.0,299834.0,427981.0,406935.0
2000.0,Turkey,TUR,1525093.0,1322241.0,616007.0,664956.0
2000.0,United Arab Emirates,ARE,66226.0,44856.0,1757200.0,689810.0
2000.0,Yemen,YEM,343820.0,185576.0,80514.0,64426.0
2000.0,Belarus,BLR,735866.0,949780.0,514593.0,608993.0
2000.0,Bulgaria,BGR,326504.0,362178.0,18238.0,25122.0
2000.0,Czechia,CZE,324606.0,398727.0,119227.0,101562.0
2000.0,Hungary,HUN,210583.0,210376.0,138219.0,158738.0
2000.0,Poland,POL,882240.0,1165386.0,338323.0,486928.0
2000.0,Republic of Moldova,MDA,299267.0,303506.0,101097.0,146731.0
2000.0,Romania,ROU,542472.0,596353.0,63121.0,71133.0
2000.0,Russian Federation,RUS,4509883.0,6154881.0,5982851.0,5917446.0
2000.0,Slovakia,SVK,125238.0,126295.0,51253.0,65123.0
2000.0,Ukraine,UKR,2618744.0,2977774.0,2368364.0,3158723.0
2000.0,Channel Islands,CHA,6316.0,6509.0,30234.0,34067.0
2000.0,Denmark,DNK,100345.0,117416.0,179977.0,191049.0
2000.0,Estonia,EST,65057.0,76764.0,100844.0,148668.0
2000.0,Faroe Islands,FRO,5236.0,7174.0,1921.0,1672.0
2000.0,Finland,FIN,125768.0,190093.0,67469.0,68734.0
2000.0,Iceland,ISL,12764.0,13409.0,7207.0,8685.0
2000.0,Ireland,IRL,361562.0,459095.0,172959.0,177593.0
2000.0,Isle of Man,IMN,3675.0,3702.0,18725.0,20277.0
2000.0,Latvia,LVA,108961.0,129680.0,177632.0,252546.0
2000.0,Lithuania,LTU,151578.0,196986.0,100546.0,113765.0
2000.0,Norway,NOR,71032.0,92802.0,144826.0,147614.0
2000.0,Sweden,SWE,112503.0,144107.0,480211.0,523587.0
2000.0,United Kingdom,GBR,1929157.0,1930849.0,2228628.0,2501537.0
2000.0,Albania,ALB,454773.0,369669.0,35990.0,40705.0
2000.0,Andorra,AND,2647.0,2928.0,22093.0,20054.0
2000.0,Bosnia and Herzegovina,BIH,732010.0,764681.0,39691.0,43261.0
2000.0,Croatia,HRV,435683.0,471348.0,274823.0,310475.0
2000.0,Gibraltar,GIB,4174.0,4277.0,3865.0,4189.0
2000.0,Greece,GRC,506166.0,476519.0,559794.0,551871.0
2000.0,Holy See,VAT,28.0,13.0,379.0,411.0
2000.0,Italy,ITA,1590861.0,1476637.0,976691.0,1144997.0
2000.0,Malta,MLT,52311.0,52558.0,10289.0,11232.0
2000.0,Montenegro,MNE,85403.0,98048.0,0.0,0.0
2000.0,North Macedonia,MNP,266937.0,265195.0,52385.0,73280.0
2000.0,Portugal,PRT,1021724.0,972069.0,320319.0,331153.0
2000.0,San Marino,SMR,1693.0,1801.0,2175.0,1870.0
2000.0,Serbia,SRB,592896.0,539023.0,437602.0,540271.0
2000.0,Slovenia,SVN,52205.0,66454.0,114772.0,99736.0
2000.0,Spain,ESP,588443.0,702171.0,838058.0,819227.0
2000.0,Austria,AUT,222934.0,255157.0,478318.0,518229.0
2000.0,Belgium,BEL,172734.0,226130.0,636275.0,632093.0
2000.0,France,FRA,748629.0,806762.0,3092789.0,3185929.0
2000.0,Germany,DEU,1520496.0,1714751.0,4503666.0,4488965.0
2000.0,Liechtenstein,LIE,1202.0,1486.0,7980.0,7503.0
2000.0,Luxembourg,LUX,19991.0,19771.0,69286.0,70464.0
2000.0,Monaco,MCO,2530.0,2594.0,10458.0,11329.0
2000.0,Netherlands,NLD,372460.0,375171.0,765302.0,791035.0
2000.0,Switzerland,CHE,169366.0,201076.0,841855.0,728901.0
2000.0,Anguilla,AIA,1276.0,1232.0,1910.0,2153.0
2000.0,Antigua and Barbuda,ATG,14856.0,17926.0,10316.0,12755.0
2000.0,Aruba,ABW,3395.0,4267.0,13519.0,16585.0
2000.0,Bahamas,BHS,14737.0,19564.0,19414.0,17040.0
2000.0,Barbados,BRB,44992.0,50006.0,12405.0,16019.0
2000.0,"Bonaire, Sint Eustatius and Saba",BES,326.0,321.0,0.0,0.0
2000.0,British Virgin Islands,VGB,1603.0,2080.0,6386.0,6572.0
2000.0,Cayman Islands,CYM,559.0,719.0,9671.0,9505.0
2000.0,Cuba,CUB,499590.0,548199.0,8212.0,10333.0
2000.0,Curaçao,CUW,1885.0,1894.0,0.0,0.0
2000.0,Dominica,DMA,22384.0,25891.0,1955.0,1768.0
2000.0,Dominican Republic,DOM,376036.0,513415.0,216008.0,139603.0
2000.0,Grenada,GRD,28883.0,34908.0,3386.0,3439.0
2000.0,Guadeloupe,GLP,3235.0,4515.0,39778.0,43410.0
2000.0,Haiti,HTI,433429.0,368789.0,9572.0,7650.0
2000.0,Jamaica,JAM,385488.0,472377.0,12503.0,12449.0
2000.0,Martinique,MTQ,6498.0,7521.0,25451.0,29041.0
2000.0,Montserrat,MSR,7083.0,9049.0,622.0,589.0
2000.0,Puerto Rico,PRI,688171.0,911887.0,168480.0,186558.0
2000.0,Saint Barthélemy,BLM,0.0,0.0,0.0,0.0
2000.0,Saint Kitts and Nevis,KNA,14309.0,16558.0,3068.0,2803.0
2000.0,Saint Lucia,LCA,17671.0,21885.0,4960.0,4911.0
