,Region of Incident,Incident year,Number of Dead,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Region of Origin,Country of Origin,Migration route,Coordinates
0,North America,2014,1.0,1,,,1.0,,Central America,Guatemala,US-Mexico border crossing,"31.650259, -110.366453"
1,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.59713, -111.73756"
2,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.94026, -113.01125"
3,North America,2014,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"31.506777, -109.315632"
4,Europe,2014,1.0,1,2.0,,1.0,,Northern Africa,Sudan,,"59.1551, 28"
5,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.45435, -113.18402"
6,Mediterranean,2014,12.0,12,,9.0,,3.0,Unknown,"Afghanistan,Syrian Arab Republic",Eastern Mediterranean,"37.2832, 27"
7,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.478317, -113.182833"
8,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.81154, -111.01101"
9,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.174017, -112.174583"
10,North America,2014,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"32.40291, -113.02935"
11,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.159, -112.919"
12,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.481483, -111.654933"
13,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.481683, -111.654933"
14,Europe,2014,1.0,1,2.0,,1.0,1.0,Southern Asia,Iran (Islamic Republic of),English Channel to the UK,"50.9355, 2"
15,Caribbean,2014,1.0,1,,,1.0,1.0,Caribbean,Haiti,Caribbean to US,"26.116, -80"
16,South-eastern Asia,2014,5.0,5,500.0,,5.0,,South-eastern Asia,Myanmar,,"7.0167471, 100.4674982"
17,Mediterranean,2014,15.0,15,0.0,,1.0,,Unknown,"Cameroon,Unknown",Western Mediterranean,"35.8793, -5"
18,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.8054, -111.854867"
19,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.992833, -111.385833"
20,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.17305, -112.20211"
21,Mediterranean,2014,2.0,2,121.0,,2.0,,Eastern Africa,Somalia,Central Mediterranean,"34.5645, 16"
22,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.00768, -112.1726"
23,North America,2014,1.0,1,2.0,,1.0,,Central America,Mexico,US-Mexico border crossing,"32.5543, -117"
24,Caribbean,2014,8.0,8,0.0,,,,Caribbean,Haiti,Haiti to Dominican Republic,"18.4505, -68"
25,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.82214, -111.96383"
26,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.08795, -112.58407"
27,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.0885, -112.44956"
28,Southern Asia,2014,1.0,1,0.0,,1.0,,Southern Asia,Bangladesh,,"25.1841, 89"
29,Eastern Africa,2014,11.0,17,0.0,,,,Eastern Africa,Ethiopia,Horn of Africa to Yemen crossing,"20.2802, 39"
30,Mediterranean,2014,7.0,7,,,,,Eastern Africa,Somalia,Central Mediterranean,"33.1597, 15"
31,North America,2014,1.0,1,,1.0,,,Central America,Guatemala,US-Mexico border crossing,"31.759, -110.51916"
32,Europe,2014,1.0,1,0.0,,1.0,,Europe,Albania,English Channel to the UK,"50.9365, 2"
33,South-eastern Asia,2014,5.0,5,4.0,2.0,3.0,,Southern Asia,Cambodia,,"13.2353642, 101"
34,South-eastern Asia,2014,2.0,2,10.0,,2.0,,Southern Asia,Myanmar,,"9.96833, 99"
35,Central America,2014,1.0,1,,1.0,,1.0,South America,Ecuador,US-Mexico border crossing,"31.6904, -106.425"
36,Eastern Africa,2014,1.0,44,33.0,1.0,,3.0,Eastern Africa,"Ethiopia,Somalia",Horn of Africa to Yemen crossing,"12.5331, 48"
37,Europe,2014,1.0,1,0.0,,1.0,,Eastern Africa,Ethiopia,English Channel to the UK,"50.9686, 2"
38,North America,2014,1.0,1,,,,,Central America,El Salvador,US-Mexico border crossing,"26.81120278, -97.74819915"
39,Europe,2014,1.0,1,0.0,,1.0,,Eastern Africa,Ethiopia,English Channel to the UK,"50.950273, 2"
40,Europe,2014,1.0,1,2.0,,1.0,,Eastern Africa,Ethiopia,English Channel to the UK,"50.9688, 2"
41,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.789033, -112.114583"
42,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.1386, -112.326"
43,Mediterranean,2014,1.0,1,,,,,Unknown,Unknown,Central Mediterranean,"34.9797, 13"
44,Mediterranean,2014,7.0,9,8.0,1.0,1.0,1.0,Western Asia,Syrian Arab Republic,Eastern Mediterranean,"39.398814, 26"
45,Eastern Africa,2014,251.0,251,50.0,,,,Middle Africa,Congo,,"1.63236, 31"
46,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.558, -111.183"
47,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.94755, -112.06415"
48,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.85666, -111.62433"
49,Central America,2014,1.0,1,,1.0,,,Central America,Guatemala,,"16.2299602, -92"
50,North America,2014,1.0,1,,1.0,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.688867, -111.862733"
51,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.3085, -111.7528"
52,North America,2014,1.0,1,,,1.0,,Central America,El Salvador,US-Mexico border crossing,"31.33271, -110.93813"
53,North America,2014,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"31.354017, -110.989383"
54,Eastern Africa,2014,17.0,17,0.0,,,,Eastern Africa,Zimbabwe,,"-23.8148, 32"
55,Mediterranean,2014,1.0,1,661.0,,,,Unknown,Unknown,Central Mediterranean,"35.1092, 14"
56,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.03171, -112.42503"
57,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.836217, -111.9419"
58,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.12865, -111.330983"
59,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.178733, -112.5039"
60,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.09045, -112.246033"
61,Northern Africa,2014,10.0,10,309.0,,,,Eastern Africa,"Eritrea,Ethiopia,Sudan,Unknown",Sahara Desert crossing,"23.3112, 22"
62,Mediterranean,2014,8.0,9,5.0,2.0,,1.0,Western Asia,Syrian Arab Republic,Eastern Mediterranean,"38.669208, 27"
63,Central America,2014,4.0,4,3.0,,,,Central America,"Honduras,Mexico",,"16.242196, -94"
64,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.1886, -113.0037"
65,South-eastern Asia,2014,5.0,5,,,,,Eastern Asia,China,,"21.5928, 107"
66,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.1833, -112.9961"
67,South-eastern Asia,2014,7.0,7,7.0,2.0,5.0,,Southern Asia,Cambodia,,"13.3493133, 101"
68,North America,2014,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"31.99887, -110.862595"
69,North America,2014,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"31.467633, -110.793333"
70,Mediterranean,2014,,40,1.0,,,,Eastern Africa,Somalia,Central Mediterranean,"34.3706, 14"
71,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.59867, -111.43782"
72,Caribbean,2014,6.0,9,16.0,,,,Caribbean,Unknown,,"18.3079, -70"
73,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.58023, -111.79283"
74,Mediterranean,2014,4.0,4,80.0,,,,Eastern Africa,"Eritrea,Ethiopia,Somalia",Central Mediterranean,"33.1045, 14"
75,Europe,2014,1.0,1,,,1.0,1.0,Eastern Africa,Eritrea,English Channel to the UK,"50.9513, 1.85869"
76,Mediterranean,2014,22.0,29,36.0,,,,Unknown,Unknown,Eastern Mediterranean,"37.848433, 27"
77,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.12555, -112.868"
78,Mediterranean,2014,44.0,77,53.0,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"32.6801, 16"
79,Mediterranean,2014,1.0,1,,,1.0,,Eastern Africa,Eritrea,Central Mediterranean,"35.8196, 12"
80,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.75233, -111.97016"
81,South-eastern Asia,2014,1.0,1,17.0,,,,Southern Asia,Myanmar,,"8.855529, 98"
82,Northern Africa,2014,13.0,46,,,,,Western Africa,Niger,Sahara Desert crossing,"23.5301672, 2"
83,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.692369, -110.360473"
84,Mediterranean,2014,17.0,217,226.0,12.0,2.0,3.0,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"34.7086, 16"
85,North America,2014,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"31.95283, -112.34965"
86,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.61445, -111.68357"
87,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.46313, -111.6213"
88,Mediterranean,2014,1.0,1,,,1.0,1.0,Southern Asia,Afghanistan,Eastern Mediterranean,"39.5061, 20"
89,Europe,2014,1.0,1,,,1.0,1.0,Northern Africa,Sudan,English Channel to the UK,"50.9513, 1.85869"
90,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.0667, -113.1525"
91,North America,2014,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"31.34675, -109.4814"
92,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.437783, -111.636383"
93,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.437983, -111.636383"
94,Eastern Africa,2014,62.0,62,0.0,,,,Eastern Africa,"Ethiopia,Somalia",Horn of Africa to Yemen crossing,"12.5331, 48"
95,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.62445, -111.3423"
96,North America,2014,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"31.334397, -110.96816"
97,Mediterranean,2014,3.0,3,,,,,Unknown,Unknown,Central Mediterranean,"35.358, 13"
98,North America,2014,1.0,1,,1.0,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.564183, -111.670617"
99,Mediterranean,2014,4.0,4,,,,,Middle Africa,Central African Republic,Central Mediterranean,"35.4125, 12"
100,Mediterranean,2014,3.0,5,0.0,,,,Unknown,Unknown,Central Mediterranean,"36.4935, 14"
101,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.906667, -112.0059"
102,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.23316, -112.959966"
103,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.05, -112.9"
104,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.48843, -112.59816"
105,North America,2014,1.0,1,,1.0,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.778767, -111.396767"
106,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.833333, -113.75"
107,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.914994, -111.875669"
108,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.84452, -111.86507"
109,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.14323, -112.58124"
110,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.78543, -111.86321"
111,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.49908, -111.40091"
112,Mediterranean,2014,10.0,10,39.0,,,,Unknown,Unknown,Central Mediterranean,"34.2775, 15"
113,South-eastern Asia,2014,6.0,6,13.0,5.0,1.0,,Southern Asia,Cambodia,,"13.6702361, 101"
114,Mediterranean,2014,1.0,1,356.0,,,,Western Asia,Syrian Arab Republic,Central Mediterranean,"35.9061, 12"
115,South-eastern Asia,2014,2.0,2,16.0,1.0,1.0,,Southern Asia,Cambodia,,"13.1394249, 101"
116,Northern Africa,2014,0.0,29,,,,,Unknown,Unknown,Western Africa / Atlantic route to the Canary Islands,"28.348645, -13"
117,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"27.15310333, -98"
118,Mediterranean,2014,4.0,4,0.0,,,,Unknown,Unknown,Western Mediterranean,"35.2783, -3"
119,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.16403, -111.71384"
120,South-eastern Asia,2014,9.0,35,62.0,1.0,8.0,1.0,Southern Asia,Indonesia,,"4.66259, 100"
121,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.17175, -111.20567"
122,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.4275, -111.64305"
123,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.49936, -112.21016"
124,Mediterranean,2014,0.0,240,0.0,,,,Eastern Africa,Eritrea,Central Mediterranean,"34.6033, 17"
125,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.39289, -111.00497"
126,Mediterranean,2014,2.0,6,,,4.0,,Western Asia,"Morocco,Syrian Arab Republic,Unknown",Central Mediterranean,"36.1838, 13"
127,Mediterranean,2014,45.0,45,566.0,,45.0,,Unknown,"Cameroon,Somalia,Syrian Arab Republic",Central Mediterranean,"36.222841, 14.688719"
128,Mediterranean,2014,0.0,75,27.0,,,,Unknown,Unknown,Central Mediterranean,"36.4317, 15.8313"
129,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.6739, -111.84799"
130,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.629327, -111.78697"
131,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.375917, -112"
132,Mediterranean,2014,13.0,13,,,,,Unknown,,Central Mediterranean,"33.0335, 15"
133,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.081967, -113"
134,Mediterranean,2014,12.0,200,0.0,1.0,,2.0,Western Asia,"Eritrea,Syrian Arab Republic,Unknown",Central Mediterranean,"32.9615, 13"
135,Central America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,,"18.130861, -95"
136,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.316, -112"
137,North America,2014,1.0,1,,,,,Central America,El Salvador,US-Mexico border crossing,"26.92635612, -97.709747"
138,Mediterranean,2014,4.0,25,13.0,1.0,2.0,1.0,Unknown,Unknown,Eastern Mediterranean,"37.862031, 26.921962"
139,North America,2014,1.0,1,,,,,Central America,El Salvador,US-Mexico border crossing,"26.99857326, -98.18627898"
140,Mediterranean,2014,12.0,12,,,,,Unknown,Unknown,Central Mediterranean,"32.9511, 13.2042"
141,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.62332, -112"
142,North America,2014,1.0,1,,,,,Central America,Guatemala,US-Mexico border crossing,"26.99000755, -98"
143,Mediterranean,2014,1.0,110,12.0,1.0,,,Unknown,Unknown,Central Mediterranean,"33.6564, 15"
144,South-eastern Asia,2014,2.0,20,60.0,,,,Southern Asia,Indonesia,,"6.35306, 115"
145,Mediterranean,2014,3.0,3,90.0,,,,Unknown,Unknown,Central Mediterranean,"32.8343, 14"
146,Mediterranean,2014,0.0,41,61.0,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"33.2423, 13"
147,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.03617, -113.00065"
148,North America,2014,1.0,1,,,,,Central America,Guatemala,US-Mexico border crossing,"26.95573817, -98"
149,Mediterranean,2014,2.0,55,1.0,,,,Mixed,"Egypt,Syrian Arab Republic",Central Mediterranean,"31.5818, 31"
150,Mediterranean,2014,3.0,3,104.0,,,,Unknown,Unknown,Central Mediterranean,"33.4442, 14"
151,Mediterranean,2014,29.0,180,569.0,,,1.0,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"34.5821, 14.2163"
152,Mediterranean,2014,5.0,19,61.0,,,,Unknown,Unknown,Central Mediterranean,"36.3557, 14"
153,Europe,2014,1.0,1,,,1.0,,Eastern Africa,Eritrea,English Channel to the UK,"50.9584, 0"
154,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.651, -111.6385"
155,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.37387, -113.14252"
156,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.532056, -111.533472"
157,Mediterranean,2014,20.0,128,22.0,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"34.4666, 14"
158,North America,2014,1.0,1,,,1.0,1.0,Central America,Mexico,US-Mexico border crossing,"31.6488, -110.697817"
159,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.83222, -112.05419"
160,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.949573, -112.871417"
161,Northern Africa,2014,1.0,1,,,,,Unknown,Unknown,Sahara Desert crossing,"26.163979, 11.855727"
162,Southern Asia,2014,1.0,1,,,,,Western / Southern Asia (P),Unknown,,"37.414959, 48.122069"
163,Central America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,,"18.539117, -96.606006"
164,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.26839, -111.4741"
165,Mediterranean,2014,2.0,172,200.0,1.0,,1.0,Western Asia,Syrian Arab Republic,Central Mediterranean,"33.499179, 15.490763"
166,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.04927, -111.56971"
167,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.54141, -111.526"
168,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.197083, -113.05333"
169,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.685017, -111.997183"
170,Europe,2014,1.0,1,34.0,,1.0,,Southern Asia,Afghanistan,English Channel to the UK,"51.4616, 0.345211"
171,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.63525, -111.78028"
172,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.489567, -111.461233"
173,Mediterranean,2014,170.0,251,19.0,,,1.0,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"32.9212, 13.7659"
174,Mediterranean,2014,18.0,26,73.0,,26.0,,Unknown,"Côte d'Ivoire,Eritrea,Guinea,Libya,Mali,Palestinian Territories,Somalia,Sudan,Syrian Arab Republic",Central Mediterranean,"35.2823, 15.8752"
175,Caribbean,2014,4.0,9,,,4.0,,Caribbean,Cuba,Caribbean to US,"25.8709, -80"
176,Mediterranean,2014,24.0,24,364.0,,,,Unknown,Unknown,Central Mediterranean,"34.5671, 14.0625"
177,Mediterranean,2014,1.0,1,,,,,Unknown,Unknown,Central Mediterranean,"34.3134, 16.9189"
178,Caribbean,2014,1.0,1,19.0,1.0,,,Caribbean,Haiti,Caribbean to US,"26.2937, -80"
179,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.03905, -112.12708"
180,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.299867, -111.47552"
181,Caribbean,2014,,23,,,,,Caribbean,"Dominican Republic,Haiti",,"18.3459, -67.8186"
182,North America,2014,44.0,44,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"27.033656, -98.233616"
183,Caribbean,2014,11.0,17,15.0,1.0,1.0,1.0,Caribbean,Cuba,,"23.6244, -86.2866"
184,Mediterranean,2014,42.0,42,,8.0,,5.0,Western Asia,Syrian Arab Republic,Central Mediterranean,"33.5111, 12"
185,Mediterranean,2014,,100,,,,,Unknown,,Central Mediterranean,"32.8879, 14"
186,Northern Africa,2014,1.0,1,,,,,Unknown,Unknown,Sahara Desert crossing,"27.922369, 15"
187,Northern Africa,2014,1.0,1,,,,,Unknown,Unknown,Sahara Desert crossing,"22.659193, 11"
188,Northern Africa,2014,1.0,1,,,,,Unknown,Unknown,Sahara Desert crossing,"19.5197871, 27"
189,Central America,2014,64.0,64,,,,,Central America,El Salvador,,"19.1452, -101.074"
190,Central America,2014,2.0,2,17.0,,,,Caribbean,Cuba,,"21.897364, -88.384764"
191,North America,2014,1.0,1,0.0,,1.0,,Central America,Mexico,US-Mexico border crossing,"31.93067, -112.07349"
192,North America,2014,1.0,1,0.0,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.33915, -109.549239"
193,North America,2014,1.0,1,0.0,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.00936, -113.02776"
194,Central America,2014,1.0,1,,,1.0,,Central America,Unknown,,"18.600776, -98.463359"
195,Eastern Asia,2014,,9,1.0,,,,Eastern Asia,China,,"22.2344, 114"
196,North America,2014,1.0,1,0.0,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.35267, -113.163509"
197,North America,2014,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"26.1850517, -98.3798819"
198,North America,2014,1.0,1,0.0,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.6185, -112.33998"
199,Mediterranean,2014,3.0,500,10.0,,,,Mixed,"Egypt,Palestinian Territories,Sudan,Syrian Arab Republic",Central Mediterranean,"33.9069, 14.4141"
200,Mediterranean,2014,2.0,18,12.0,,,1.0,Unknown,Unknown,Central Mediterranean,"34.9853, 16.106"
201,North America,2014,1.0,1,0.0,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.76753, -112.051033"
202,Mediterranean,2014,15.0,88,72.0,,,,Western Asia,"Egypt,State of Palestine,Syrian Arab Republic",Central Mediterranean,"31.5253, 29.6864"
203,Mediterranean,2014,70.0,164,36.0,,,1.0,Unknown,Unknown,Central Mediterranean,"33.5048, 13.8702"
204,Mediterranean,2014,10.0,43,55.0,,,,Unknown,Unknown,Central Mediterranean,"33.6053, 16.9684"
205,North America,2014,1.0,1,0.0,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.75811, -111.68045"
206,Western Asia,2014,1.0,1,,,1.0,1.0,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.89501978, 38"
207,Western Asia,2014,2.0,2,,,2.0,1.0,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.89090973, 38"
208,North America,2014,1.0,1,0.0,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.15356, -112.02004"
209,North America,2014,1.0,1,0.0,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.1823, -113.1603"
210,North America,2014,1.0,1,0.0,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.763, -111.9822"
211,Mediterranean,2014,2.0,8,,,1.0,,Sub-Saharan Africa (P),Unknown,Western Mediterranean,"35.9858, -5.39635"
212,Eastern Africa,2014,64.0,64,,,,,Eastern Africa,Unknown,Horn of Africa to Yemen crossing,"12.7047, 49.4824"
213,Mediterranean,2014,10.0,95,85.0,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"33.5963, 14.6338"
214,Caribbean,2014,,2,3.0,,,,Caribbean,Unknown,Caribbean to US,"25.7529, -79.8528"
215,Mediterranean,2014,3.0,3,646.0,,,,Unknown,Unknown,Central Mediterranean,"35.898, 15.4907"
216,Europe,2014,1.0,1,,,1.0,,Western Asia,Syrian Arab Republic,English Channel to the UK,"50.9815873, 1.810620814"
217,Europe,2014,1.0,1,,,1.0,,Western Asia,Syrian Arab Republic,English Channel to the UK,"51.00534374, 1.826413661"
218,Central America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,,"30.5398333, -111.1196215"
219,South-eastern Asia,2014,,4,,,4.0,,Unknown,Unknown,,"9.00988, 98.2892"
220,Eastern Africa,2014,1.0,1,,,1.0,,Eastern Africa,Unknown,Horn of Africa to Yemen crossing,"12.6082, 48.8232"
221,Eastern Africa,2014,1.0,1,,,1.0,,Eastern Africa,Unknown,Horn of Africa to Yemen crossing,"12.5331, 48"
222,Eastern Africa,2014,1.0,1,,,1.0,,Eastern Africa,Unknown,Horn of Africa to Yemen crossing,"12.5331, 48"
223,Eastern Africa,2014,1.0,1,,,1.0,,Eastern Africa,Unknown,Horn of Africa to Yemen crossing,"12.5331, 48"
224,Eastern Africa,2014,1.0,1,,,1.0,,Eastern Africa,Unknown,Horn of Africa to Yemen crossing,"12.5331, 48"
225,Eastern Africa,2014,1.0,1,,,1.0,,Eastern Africa,Unknown,Horn of Africa to Yemen crossing,"12.5331, 47.9224"
226,Eastern Africa,2014,1.0,1,,,1.0,,Eastern Africa,Unknown,Horn of Africa to Yemen crossing,"12.5331, 47.9224"
227,Eastern Africa,2014,1.0,1,,,1.0,,Eastern Africa,Unknown,Horn of Africa to Yemen crossing,"12.5331, 47.9224"
228,Europe,2014,1.0,1,,1.0,0.0,1.0,Eastern Africa,Ethiopia,English Channel to the UK,"50.951314, 1.85869"
229,Europe,2014,1.0,1,,,1.0,,Northern Africa,Sudan,English Channel to the UK,"50.9513, 1.85869"
230,Caribbean,2014,,2,11.0,,,,Caribbean,Cuba,Caribbean to US,"24.5671, -80.321"
231,Mediterranean,2014,,20,93.0,,,,Unknown,Unknown,Central Mediterranean,
232,Central America,2014,41.0,41,,4.0,12.0,,Central America,Guatemala,,"23.6345, -102.553"
