,Region of Incident,Incident year,Number of Dead,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Region of Origin,Country of Origin,Migration route,Coordinates
1686,Western Asia,2016,1.0,1,,,1.0,,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.0895263, 36.31663"
1687,Mediterranean,2016,2.0,2,113.0,2.0,,,Unknown,Unknown,Central Mediterranean,"33.9413036, 12.7194955"
1688,Central America,2016,1.0,1,,1.0,,1.0,Central America,Mexico,US-Mexico border crossing,"27.1334908, -103.434484"
1689,Northern Africa,2016,6.0,6,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"24.138269, 33.026759"
1690,Western Asia,2016,8.0,8,8.0,4.0,1.0,3.0,Western Asia,Syrian Arab Republic,Syria to Türkiye,"35.8357803, 36.3183572"
1691,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"28.4226837, -100.0344494"
1692,Eastern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,,"9.5206381, 45.5288885"
1693,Eastern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,,"12.9944787, 36.1824054"
1694,Northern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"24.138269, 33.026759"
1695,Northern Africa,2016,3.0,3,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"17.6922271, 33.9762492"
1696,Northern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"18.008686, 33.9948098"
1697,Northern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"23.459686, 30.6654494"
1698,Northern Africa,2016,5.0,5,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"19.4022552, 27.9053789"
1699,Northern Africa,2016,9.0,9,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"21.53537, 32.95897"
1700,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.8997, -111.769884"
1701,Western Asia,2016,11.0,11,,,,,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.6706441, 36.4781584"
1702,Central America,2016,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"27.1334908, -103.434484"
1703,Mediterranean,2016,1.0,1,100.0,,,,Western Africa,Nigeria,Central Mediterranean,"32.8344776, 12.3840848"
1704,Central America,2016,1.0,1,,,,,Latin America / Caribbean (P),Unknown,,"25.4802663, -100.9763379"
